station_name	wmo_reg	sub_reg	river	station	country	lat	long	area
2903052	2	2031	VITIM	ROMANOVKA	RU	53.2	112.77	18200
2903053	2	2031	VITIM	HULUGLI	RU	54.03	115	48500
2903054	2	2031	VITIM	KALAKAN	RU	55.12	116.77	66300
2903055	2	2031	VITIM	MNOGOOB. KOSA	RU	56.08	115.77	147000
2903056	2	2031	VITIM	SPITSYUNO	RU	56.22	115.73	151000
2903057	2	2031	VITIM	NILYATYU	RU	56.5	115.67	169000
2903058	2	2031	KUANDA	KUANDA	RU	56.35	116.23	3160
2903059	2	2031	VITIMKAN	IVANOVSKY	RU	54.18	111.85	969
2903060	2	2031	NOTORA	HAS-TOHTUR	RU	60.9604	135.0021	6970
2903070	2	2031	ALLAKH-YUN'	ALLAKH	RU	60.6021	134.9479	24200
2903071	2	2031	ALLAKH-YUN'	SELHOZ	RU	60.28	137.5	15000
2903080	2	2031	MAYA	CHABDA	RU	59.78	134.75	165000
2903081	2	2031	YUDOMA	KURUN-TARGYUKHAH	RU	59.23	135.28	43600
2903085	2	2031	UNGRA	YUHTA	RU	57.285336	124.093375	4920
2903087	2	2031	UCHUR	CHULBU	RU	57.77	130.9	108000
2903090	2	2031	MIL'	MONNUBUT	RU	59.7729	132.6938	4190
2903100	2	2031	ZHUYA	SVETLY	RU	58.42	116.02	4790
2903110	2	2031	KALAR	SREDNE KALAR	RU	55.92	117.53	13700
2903111	2	2031	KALAR	KATUGINO	RU	56.05	119.12	7980
2903115	2	2031	SYUL'BAN	SULBAN	RU	56.6	117.23	840
2903117	2	2031	TULDUN	TILIMSHA	RU	55.88	115.45	680
2903120	2	2031	KALAKAN	KALAKAN	RU	55.15	116.77	10700
2903150	2	2031	AMGA	TERUT	RU	62.22	134.13	65400
2903151	2	2031	AMGA	AMGA	RU	60.9	131.98	56800
2903152	2	2031	AMGA	BUYAGA	RU	59.67	127.05	23900
2903200	2	2031	KEMPENDYAYI	KEMPENDAI	RU	62.0313	118.6563	1290
2903210	2	2031	CHINA	TROITSKY	RU	54.6	113.12	448
2903212	2	2031	DZHILINDA	UST-DJILINDA	RU	53.72	112.03	1230
2903215	2	2031	TSIPA	Z. UJU	RU	55.58	114.5	15600
2903216	2	2031	TSIPA	KURORT BAUN	RU	55.12	112.7	3240
2903217	2	2031	KHOLOY	MIHAILOVKA	RU	52.93	112.02	1680
2903218	2	2031	ZAZA	UST-ZAZA	RU	53.18	111.68	1880
2903220	2	2031	AMALAT	RASS	RU	54.28958	114.30208	8790
2903221	2	2031	AMALAT	UST	RU	53.95	113.1	2100
2903222	2	2031	TSIPIKAN	TSIPIKAN	RU	54.92	113.37	5990
2903225	2	2031	MALYY AMALAT	MALY AMALAT	RU	54.3	113.45	1170
2903226	2	2031	BAGDARIN	BAGDARIN	RU	54.45	113.58	280
2903230	2	2031	KONDA	ELKISER	RU	52.75	113.43	5350
2903235	2	2031	KARENGA	UST-KARENGA	RU	54.42	116.53	9460
2903236	2	2031	KARENGA	TUNGOKOCHEN	RU	53.53	115.63	3670
2903240	2	2031	MUYA	TAKSIMO	RU	56.37	114.85	9900
2903241	2	2031	MUYAKAN	LAPRO	RU	56.28	114.15	2500
2903245	2	2031	MUDIRAKAN	MOLODEZHNY	RU	56.22	115.03	890
2903300	2	2031	KIRENGA	SHOROKHOVO	RU	57.63	108.12	46500
2903301	2	2031	KIRENGA	KARAM	RU	55.15	107.62	12900
2903305	2	2031	KUNERMA	KUNERMA	RU	55.77	108.47	528
2903307	2	2031	MINYA	MINYA	RU	56.58	107.85	4800
2903310	2	2031	BOL'SHAYA TIRA	TIRA	RU	57.28	107.23	5160
2903315	2	2031	TAYURA	TAYURA	RU	56.99792	106.54792	5720
2903320	2	2031	POLOVINNAYA	POLOVINNAYA	RU	56.88	106.08	175
2903325	2	2031	TUTURA	GREHOVA	RU	54.87	105.45	7100
2903330	2	2031	KUTA	NOVO-ILINKA	RU	56.85	105.07	11200
2903331	2	2031	KUTA	MAKSIMOVO	RU	57.1219	105.0072	6480
